Site Name,Closet Name,IDF/MDF,device_model,Number of Switches/stacks,hostname,wan_1_ip,wan_1_mask,wan_1_name,wan_2_ip,wan_2_mask,wan_2_name,voice_vlan_id,voice_vlan_name,voice_vlan_ip,voice_vlan_mask,mgmt_vlan_id,mgmt_vlan_name,mgmt_vlan_ip,mgmt_vlan_mask,mgmt_vlan_gateway,vlan_id_2,vlan_name_2,vlan_ip_2,vlan_mask_2,vlan_id_3,vlan_name_3,vlan_ip_3,vlan_mask_3,vlan_id_4,vlan_name_4,vlan_ip_4,vlan_mask_4,vlan_id_5,vlan_name_5,vlan_ip_5,vlan_mask_5,vlan_id_6,vlan_name_6,vlan_ip_6,vlan_mask_6,vlan_id_7,vlan_name_7,vlan_ip_7,vlan_mask_7,vlan_id_8,vlan_name_8,vlan_ip_8,vlan_mask_8,vlan_id_9,vlan_name_9,vlan_ip_9,vlan_mask_9,snmp_location,dhcp_relay_ip_custom,Notes
Main Campus,Assisi,IDF,,1,asisw1,,,,,,,1017,VOICE,172.17.247.0,255.255.255.0,1,MGMT,172.16.100.247,255.255.252.0,172.16.100.2,1018,VIDSEC,172.18.247.0,255.255.255.0,1019,HIGHDATA,172.19.247.0,255.255.255.0,1020,DATA,172.20.247.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,Assisi,,
Main Campus,St. Agnes,,,1,stgnsw1,,,,,,,1117,VOICE,172.17.246.0,255.255.255.0,1,MGMT,172.16.100.246,255.255.252.0,172.16.100.2,1118,VIDSEC,172.18.246.0,255.255.255.0,1119,HIGHDATA,172.19.246.0,255.255.255.0,1120,DATA,172.20.246.0,255.255.255.0,164,STUDENT,,,,,,,,,,,,,,,,,,,StAgnes,,
Main Campus,Carmel,,,1,crmlsw1,,,,,,,1217,VOICE,172.17.245.0,255.255.255.0,1,MGMT,172.16.100.245,255.255.252.0,172.16.100.2,1218,VIDSEC,172.18.245.0,255.255.255.0,1219,HIGHDATA,172.19.245.0,255.255.255.0,1220,DATA,172.20.245.0,255.255.255.0,164,STUDENT,,,,,,,,,,,,,,,,,,,Carmel,,
Main Campus,St. Francis,,,2,stfrsw1,,,,,,,1317,VOICE,172.17.244.0,255.255.255.0,1,MGMT,172.16.100.244,255.255.252.0,172.16.100.2,1318,VIDSEC,172.18.244.0,255.255.255.0,1319,HIGHDATA,172.19.244.0,255.255.255.0,1320,DATA,172.20.244.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,SFH,,
Main Campus,,,,,stfrsw2,,,,,,,1317,VOICE,172.17.244.0,255.255.255.0,1,MGMT,172.16.100.243,255.255.252.0,172.16.100.2,1318,VIDSEC,172.18.244.0,255.255.255.0,1319,HIGHDATA,172.19.244.0,255.255.255.0,1320,DATA,172.20.244.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,SFH,,
Main Campus,Ebied,,,2,ebdsw1,,,,,,,1417,VOICE,172.17.243.0,255.255.255.0,1,MGMT,172.16.100.238,255.255.252.0,172.16.100.2,1418,VIDSEC,172.18.243.0,255.255.255.0,1419,HIGHDATA,172.19.243.0,255.255.255.0,1420,DATA,172.20.243.0,255.255.255.0,152,STUDENT,,,,,,,,,,,,,,,,,,,REH,,
Main Campus,,,,,ebdsw2,,,,,,,1417,VOICE,172.17.243.0,255.255.255.0,1,MGMT,172.16.100.237,255.255.252.0,172.16.100.2,1418,VIDSEC,172.18.243.0,255.255.255.0,1419,HIGHDATA,172.19.243.0,255.255.255.0,1420,DATA,172.20.243.0,255.255.255.0,152,STUDENT,,,,,,,,,,,,,,,,,,,REH,,
Main Campus,Mother Adelaide Basement,,,2,mhbsw1,,,,,,,1517,VOICE,172.17.238.0,255.255.255.0,1,MGMT,172.16.100.234,255.255.252.0,172.16.100.2,1518,VIDSEC,172.18.238.0,255.255.255.0,1519,HIGHDATA,172.19.238.0,255.255.255.0,1520,DATA,172.20.238.0,255.255.255.0,152,STUDENT,,,,,,,,,,,,,,,,,,,MAH,,
Main Campus,,,,,mhbsw2,,,,,,,1517,VOICE,172.17.238.0,255.255.255.0,1,MGMT,172.16.100.233,255.255.252.0,172.16.100.2,1518,VIDSEC,172.18.238.0,255.255.255.0,1519,HIGHDATA,172.19.238.0,255.255.255.0,1520,DATA,172.20.238.0,255.255.255.0,152,STUDENT,,,,,,,,,,,,,,,,,,,MAH,,
Main Campus,Mother Adelaide - 2nd Floor,,,1,mhusw1,,,,,,,1617,VOICE,172.17.237.0,255.255.255.0,1,MGMT,172.16.100.232,255.255.252.0,172.16.100.2,1618,VIDSEC,172.18.237.0,255.255.255.0,1619,HIGHDATA,172.19.237.0,255.255.255.0,1620,DATA,172.20.237.0,255.255.255.0,152,STUDENT,,,,,,,,,,,,,,,,,,,MAH2,,
Main Campus,St. Clare - Basement,,,1,stclbsw1,,,,,,,1717,VOICE,172.17.236.0,255.255.255.0,1,MGMT,172.16.100.231,255.255.252.0,172.16.100.2,1718,VIDSEC,172.18.236.0,255.255.255.0,1719,HIGHDATA,172.19.236.0,255.255.255.0,1720,DATA,172.20.236.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,SCHBsmnt,,
Main Campus,St. Clare - 2nd Floor,,,1,stclsw1,,,,,,,1817,VOICE,172.17.235.0,255.255.255.0,1,MGMT,172.16.100.230,255.255.252.0,172.16.100.2,1818,VIDSEC,172.18.235.0,255.255.255.0,1819,HIGHDATA,172.19.235.0,255.255.255.0,1820,DATA,172.20.235.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,SCH2,,
Main Campus,St. Clare - Upper,,,1,stclupsw1,,,,,,,1917,VOICE,172.17.234.0,255.255.255.0,1,MGMT,172.16.100.229,255.255.252.0,172.16.100.2,1918,VIDSEC,172.18.234.0,255.255.255.0,1919,HIGHDATA,172.19.234.0,255.255.255.0,1920,DATA,172.20.234.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,SCHUpper,,
Main Campus,Library,,,1,lbrysw1,,,,,,,2017,VOICE,172.17.233.0,255.255.255.0,1,MGMT,172.16.100.228,255.255.252.0,172.16.100.2,2018,VIDSEC,172.18.233.0,255.255.255.0,2019,HIGHDATA,172.19.233.0,255.255.255.0,2020,DATA,172.20.233.0,255.255.255.0,160,STUDENT,,,,,,,,,,,,,,,,,,,Library,,
